Year,UNIT_MEASURE,Admin_Area,HH_size,Value
2023,NUMBER,usora,5,258
2023,NUMBER,vares,5,173
2023,NUMBER,visoko,5,1238
2023,NUMBER,zavidovici,5,955
2023,NUMBER,zenica,5,2672
2023,NUMBER,zepce,5,1233
2023,NUMBER,bosnian-podrinje_canton,5,565
2023,NUMBER,foca-fbih,5,43
2023,NUMBER,gorazde,5,499
2023,NUMBER,pale-fbih,5,23
2023,NUMBER,central_bosnia_canton,5,9194
2023,NUMBER,bugojno,5,1132
2023,NUMBER,busovaca,5,651
2023,NUMBER,dobretici,5,57
2023,NUMBER,donji_vakuf,5,527
2023,NUMBER,fojnica,5,380
2023,NUMBER,gornji_vakuf-uskoplje,5,863
2023,NUMBER,jajce,5,1004
2023,NUMBER,kiseljak,5,669
2023,NUMBER,kresevo,5,182
2023,NUMBER,novi_travnik,5,878
2023,NUMBER,travnik,5,1869
2023,NUMBER,vitez,5,982
2023,NUMBER,herzegovina-neretva_canton,5,7861
2023,NUMBER,capljina,5,978
2023,NUMBER,citluk,5,747
2023,NUMBER,mostar,5,3595
2023,NUMBER,jablanica,5,340
2023,NUMBER,konjic,5,803
2023,NUMBER,neum,5,185
2023,NUMBER,prozor,5,546
2023,NUMBER,ravno,5,123
2023,NUMBER,stolac,5,544
2023,NUMBER,west_herzegovina_canton,5,3764
2023,NUMBER,grude,5,663
2023,NUMBER,ljubuski,5,1081
2023,NUMBER,posusje,5,860
2023,NUMBER,siroki_brijeg,5,1160
2023,NUMBER,sarajevo_canton,5,9905
2023,NUMBER,centar_sarajevo,5,1042
2023,NUMBER,hadzici,5,735
2023,NUMBER,ilidza,5,1845
2023,NUMBER,ilijas,5,616
2023,NUMBER,novi_grad_sarajevo,5,2831
2023,NUMBER,novo_sarajevo,5,1204
2023,NUMBER,stari_grad_sarajevo,5,875
2023,NUMBER,trnovo-fbih,5,33
2023,NUMBER,vogosca,5,724
2023,NUMBER,canton_10,5,3249
2023,NUMBER,bosansko_grahovo,5,44
2023,NUMBER,drvar,5,143
2023,NUMBER,glamoc,5,123
2023,NUMBER,kupres,5,227
2023,NUMBER,livno,5,1297
2023,NUMBER,tomislavgrad,5,1415
2023,NUMBER,federation_of_bih,6,30205
2023,NUMBER,una-sana_canton,6,5226
2023,NUMBER,bihac,6,785
2023,NUMBER,bosanska_krupa,6,468
2023,NUMBER,bosanski_petrovac,6,86
2023,NUMBER,buzim,6,523
2023,NUMBER,cazin,6,1509
2023,NUMBER,kljuc,6,268
2023,NUMBER,sanski_most,6,767
2023,NUMBER,velika_kladusa,6,820
2023,NUMBER,posavina_canton,6,803
2023,NUMBER,domaljevac-samac,6,120
2023,NUMBER,odzak,6,332
2023,NUMBER,orasje,6,351
2023,NUMBER,tuzla_canton,6,4894
2023,NUMBER,banovici,6,188
2023,NUMBER,celic,6,180
2023,NUMBER,doboj-istok,6,126
2023,NUMBER,gracanica,6,563
2023,NUMBER,gradacac,6,815
2023,NUMBER,kalesija,6,537
2023,NUMBER,kladanj,6,157
2023,NUMBER,lukavac,6,185
2023,NUMBER,sapna,6,244
2023,NUMBER,srebrenik,6,455
2023,NUMBER,teocak,6,178
2023,NUMBER,tuzla,6,574
2023,NUMBER,zivinice,6,692
2023,NUMBER,zenica-doboj_canton,6,3802
2023,NUMBER,breza,6,99
2023,NUMBER,doboj-jug,6,36
2023,NUMBER,kakanj,6,413
2023,NUMBER,maglaj,6,304
2023,NUMBER,olovo,6,84
2023,NUMBER,tesanj,6,576
2023,NUMBER,usora,6,105
2023,NUMBER,vares,6,54
2023,NUMBER,visoko,6,449
2023,NUMBER,zavidovici,6,318
2023,NUMBER,zenica,6,868
2023,NUMBER,zepce,6,496
2023,NUMBER,bosnian-podrinje_canton,6,206
2023,NUMBER,foca-fbih,6,16
2023,NUMBER,gorazde,6,177
2023,NUMBER,pale-fbih,6,13
2023,NUMBER,central_bosnia_canton,6,4056
2023,NUMBER,bugojno,6,519
