Year,UNIT_MEASURE,Административна јединица,Врста школе,Пол,Value
2019,Број,Западнохерцеговчки кантон,Вјерске школе,Оба пола,
2019,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,
2020,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,
2020,Број,Западнохерцеговчки кантон,Стручне школe,Оба пола,
2020,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,
2020,Број,Западнохерцеговчки кантон,Вјерске школе,Оба пола,
2020,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Кантон Сарајево,Гимназија,Оба пола,
2016,Број,Кантон Сарајево,Техничке школе,Оба пола,
2016,Број,Кантон Сарајево,Стручне школe,Оба пола,
2016,Број,Кантон Сарајево,Умјетничке школе,Оба пола,
2016,Број,Кантон Сарајево,Вјерске школе,Оба пола,
2016,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Кантон Сарајево,Гимназија,Оба пола,
2017,Број,Кантон Сарајево,Техничке школе,Оба пола,
2017,Број,Кантон Сарајево,Стручне школe,Оба пола,
2017,Број,Кантон Сарајево,Умјетничке школе,Оба пола,
2017,Број,Кантон Сарајево,Вјерске школе,Оба пола,
2017,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Кантон Сарајево,Гимназија,Оба пола,
2018,Број,Кантон Сарајево,Техничке школе,Оба пола,
2018,Број,Кантон Сарајево,Стручне школe,Оба пола,
2018,Број,Кантон Сарајево,Умјетничке школе,Оба пола,
2018,Број,Кантон Сарајево,Вјерске школе,Оба пола,
2018,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Кантон Сарајево,Гимназија,Оба пола,
2019,Број,Кантон Сарајево,Техничке школе,Оба пола,
2019,Број,Кантон Сарајево,Стручне школe,Оба пола,
2019,Број,Кантон Сарајево,Умјетничке школе,Оба пола,
2019,Број,Кантон Сарајево,Вјерске школе,Оба пола,
2019,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Кантон Сарајево,Гимназија,Оба пола,
2020,Број,Кантон Сарајево,Техничке школе,Оба пола,
2020,Број,Кантон Сарајево,Стручне школe,Оба пола,
2020,Број,Кантон Сарајево,Умјетничке школе,Оба пола,
2020,Број,Кантон Сарајево,Вјерске школе,Оба пола,
2020,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Кантон 10,Гимназија,Оба пола,
2016,Број,Кантон 10,Техничке школе,Оба пола,
2016,Број,Кантон 10,Стручне школe,Оба пола,
2016,Број,Кантон 10,Умјетничке школе,Оба пола,
2016,Број,Кантон 10,Вјерске школе,Оба пола,
2016,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Кантон 10,Гимназија,Оба пола,
2017,Број,Кантон 10,Техничке школе,Оба пола,
2017,Број,Кантон 10,Стручне школe,Оба пола,
2017,Број,Кантон 10,Умјетничке школе,Оба пола,
2017,Број,Кантон 10,Вјерске школе,Оба пола,
2017,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Кантон 10,Гимназија,Оба пола,
2018,Број,Кантон 10,Техничке школе,Оба пола,
2018,Број,Кантон 10,Стручне школe,Оба пола,
2018,Број,Кантон 10,Умјетничке школе,Оба пола,
2018,Број,Кантон 10,Вјерске школе,Оба пола,
2018,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Кантон 10,Гимназија,Оба пола,
2019,Број,Кантон 10,Техничке школе,Оба пола,
2019,Број,Кантон 10,Стручне школe,Оба пола,
2019,Број,Кантон 10,Умјетничке школе,Оба пола,
2019,Број,Кантон 10,Вјерске школе,Оба пола,
2019,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Кантон 10,Гимназија,Оба пола,
2020,Број,Кантон 10,Техничке школе,Оба пола,
2020,Број,Кантон 10,Стручне школe,Оба пола,
2020,Број,Кантон 10,Умјетничке школе,Оба пола,
2020,Број,Кантон 10,Вјерске школе,Оба пола,
2020,Број,Кантон 10,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Федерација Босне и Херцеговине,Гимназија,M,
2016,Број,Федерација Босне и Херцеговине,Техничке школе,M,
2016,Број,Федерација Босне и Херцеговине,Стручне школe,M,
2016,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,
2016,Број,Федерација Босне и Херцеговине,Вјерске школе,M,
2016,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,
2017,Број,Федерација Босне и Херцеговине,Гимназија,M,
2017,Број,Федерација Босне и Херцеговине,Техничке школе,M,
2017,Број,Федерација Босне и Херцеговине,Стручне школe,M,
2017,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,
2017,Број,Федерација Босне и Херцеговине,Вјерске школе,M,
2017,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,
2018,Број,Федерација Босне и Херцеговине,Гимназија,M,
2018,Број,Федерација Босне и Херцеговине,Техничке школе,M,
2018,Број,Федерација Босне и Херцеговине,Стручне школe,M,
2018,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,
2018,Број,Федерација Босне и Херцеговине,Вјерске школе,M,
2018,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,M,
2019,Број,Федерација Босне и Херцеговине,Гимназија,M,
2019,Број,Федерација Босне и Херцеговине,Техничке школе,M,
2019,Број,Федерација Босне и Херцеговине,Стручне школe,M,
2019,Број,Федерација Босне и Херцеговине,Умјетничке школе,M,
