Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Value
2021,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,6
2022,Broj,Zapadno-hercegovački kanton,Gimnazija,1190
2022,Broj,Zapadno-hercegovački kanton,Tehničke škole,1674
2022,Broj,Zapadno-hercegovački kanton,Stručne škole,363
2022,Broj,Zapadno-hercegovački kanton,Umjetničke škole,52
2022,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju,2
2023,Broj,Zapadno-hercegovački kanton,Gimnazija,1176
2023,Broj,Zapadno-hercegovački kanton,Tehničke škole,1721
2023,Broj,Zapadno-hercegovački kanton,Stručne škole,365
2023,Broj,Zapadno-hercegovački kanton,Umjetničke škole,105
2023,Broj,Zapadno-hercegovački kanton,Srednje škole za djecu s poteškoćama u razvoju, -
2016,Broj,Kanton Sarajevo,Gimnazija,5120
2016,Broj,Kanton Sarajevo,Tehničke škole,7464
2016,Broj,Kanton Sarajevo,Stručne škole,1784
2016,Broj,Kanton Sarajevo,Umjetničke škole,295
2016,Broj,Kanton Sarajevo,Vjerske škole,491
2016,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,131
2017,Broj,Kanton Sarajevo,Gimnazija,5199
2017,Broj,Kanton Sarajevo,Tehničke škole,7807
2017,Broj,Kanton Sarajevo,Stručne škole,1956
2017,Broj,Kanton Sarajevo,Umjetničke škole,332
2017,Broj,Kanton Sarajevo,Vjerske škole,499
2017,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,133
2018,Broj,Kanton Sarajevo,Gimnazija,4785
2018,Broj,Kanton Sarajevo,Tehničke škole,7320
2018,Broj,Kanton Sarajevo,Stručne škole,2126
2018,Broj,Kanton Sarajevo,Umjetničke škole,307
2018,Broj,Kanton Sarajevo,Vjerske škole,487
2018,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,137
2019,Broj,Kanton Sarajevo,Gimnazija,4595
2019,Broj,Kanton Sarajevo,Tehničke škole,7022
2019,Broj,Kanton Sarajevo,Stručne škole,2231
2019,Broj,Kanton Sarajevo,Umjetničke škole,279
2019,Broj,Kanton Sarajevo,Vjerske škole,489
2019,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,117
2020,Broj,Kanton Sarajevo,Gimnazija,4673
2020,Broj,Kanton Sarajevo,Tehničke škole,6877
2020,Broj,Kanton Sarajevo,Stručne škole,2290
2020,Broj,Kanton Sarajevo,Umjetničke škole,298
2020,Broj,Kanton Sarajevo,Vjerske škole,485
2020,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,127
2021,Broj,Kanton Sarajevo,Gimnazija,4803
2021,Broj,Kanton Sarajevo,Tehničke škole,7068
2021,Broj,Kanton Sarajevo,Stručne škole,1921
2021,Broj,Kanton Sarajevo,Umjetničke škole,294
2021,Broj,Kanton Sarajevo,Vjerske škole,465
2021,Broj,Kanton Sarajevo,Srednje škole za djecu s poteškoćama u razvoju,128
2022,Broj,Kanton Sarajevo,Gimnazija,5103
