Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2013,Broj,una-sana_canton,M,8082.0
2013,Broj,posavina_canton,M,173.0
2013,Broj,tuzla_canton,M,28461.0
2013,Broj,zenica-doboj_canton,M,29657.0
2013,Broj,bosnian-podrinje_canton,M,
2013,Broj,central_bosnia_canton,M,8949.0
2013,Broj,herzegovina-neretva_canton,M,7054.0
2013,Broj,west_herzegovina_canton,M,2151.0
2013,Broj,sarajevo_canton,M,63206.0
2013,Broj,canton_10,M,2437.0
2013,Broj,federation_of_bih,Ž,162820.0
2013,Broj,una-sana_canton,Ž,12902.0
2013,Broj,posavina_canton,Ž,250.0
2013,Broj,tuzla_canton,Ž,45239.0
2013,Broj,zenica-doboj_canton,Ž,34997.0
2013,Broj,bosnian-podrinje_canton,Ž,
2013,Broj,central_bosnia_canton,Ž,9624.0
2013,Broj,herzegovina-neretva_canton,Ž,9031.0
2013,Broj,west_herzegovina_canton,Ž,2220.0
2013,Broj,sarajevo_canton,Ž,45600.0
2013,Broj,canton_10,Ž,2957.0
2014,Broj,federation_of_bih,Oba spola,300743.0
2014,Broj,una-sana_canton,Oba spola,21524.0
2014,Broj,posavina_canton,Oba spola,975.0
2014,Broj,tuzla_canton,Oba spola,63748.0
2014,Broj,zenica-doboj_canton,Oba spola,59350.0
2014,Broj,bosnian-podrinje_canton,Oba spola,10433.0
2014,Broj,central_bosnia_canton,Oba spola,19890.0
2014,Broj,herzegovina-neretva_canton,Oba spola,17882.0
2014,Broj,west_herzegovina_canton,Oba spola,3530.0
2014,Broj,sarajevo_canton,Oba spola,97948.0
2014,Broj,canton_10,Oba spola,5463.0
2014,Broj,federation_of_bih,M,143250.0
2014,Broj,una-sana_canton,M,9405.0
2014,Broj,posavina_canton,M,445.0
2014,Broj,tuzla_canton,M,29484.0
2014,Broj,zenica-doboj_canton,M,26577.0
2014,Broj,bosnian-podrinje_canton,M,3283.0
2014,Broj,central_bosnia_canton,M,9722.0
2014,Broj,herzegovina-neretva_canton,M,7567.0
2014,Broj,west_herzegovina_canton,M,1564.0
2014,Broj,sarajevo_canton,M,52841.0
2014,Broj,canton_10,M,2362.0
2014,Broj,federation_of_bih,Ž,157493.0
2014,Broj,una-sana_canton,Ž,12119.0
2014,Broj,posavina_canton,Ž,530.0
2014,Broj,tuzla_canton,Ž,34264.0
2014,Broj,zenica-doboj_canton,Ž,32773.0
