Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Spol,Value
2019,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2020,Broj,Kanton 10,Gimnazija,Oba spola,
2020,Broj,Kanton 10,Tehničke škole,Oba spola,
2020,Broj,Kanton 10,Stručne škole,Oba spola,
2020,Broj,Kanton 10,Umjetničke škole,Oba spola,
2020,Broj,Kanton 10,Vjerske škole,Oba spola,
2020,Broj,Kanton 10,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2016,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2016,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2016,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2016,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,M,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2017,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2017,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2017,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2017,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,M,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2018,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2018,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2018,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2018,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,M,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2019,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2019,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2019,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2019,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,M,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,M,
2020,Broj,Federacija Bosne i Hercegovine,Tehničke škole,M,
2020,Broj,Federacija Bosne i Hercegovine,Stručne škole,M,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,M,
2020,Broj,Federacija Bosne i Hercegovine,Vjerske škole,M,
2020,Broj,Federacija Bosne i Hercegovine,Srednje škole za djecu s poteškoćama u razvoju,M,
2016,Broj,Unsko-sanski kanton,Gimnazija,M,
2016,Broj,Unsko-sanski kanton,Tehničke škole,M,
2016,Broj,Unsko-sanski kanton,Stručne škole,M,
2016,Broj,Unsko-sanski kanton,Umjetničke škole,M,
2016,Broj,Unsko-sanski kanton,Vjerske škole,M,
2016,Broj,Unsko-sanski kanton,Srednje škole za djecu s poteškoćama u razvoju,M,
2017,Broj,Unsko-sanski kanton,Gimnazija,M,
2017,Broj,Unsko-sanski kanton,Tehničke škole,M,
2017,Broj,Unsko-sanski kanton,Stručne škole,M,
2017,Broj,Unsko-sanski kanton,Umjetničke škole,M,
2017,Broj,Unsko-sanski kanton,Vjerske škole,M,
2017,Broj,Unsko-sanski kanton,Srednje škole za djecu s poteškoćama u razvoju,M,
2018,Broj,Unsko-sanski kanton,Gimnazija,M,
2018,Broj,Unsko-sanski kanton,Tehničke škole,M,
2018,Broj,Unsko-sanski kanton,Stručne škole,M,
2018,Broj,Unsko-sanski kanton,Umjetničke škole,M,
