Year,UNIT_MEASURE,Administrativna jedinica,Brojnost kućanstava,Value
2023,Broj,Novi Travnik,4,1661
2023,Broj,Travnik,4,3594
2023,Broj,Vitez,4,1965
2023,Broj,Hercegovačko-neretvanska županija,4,14116
2023,Broj,Čapljina,4,1540
2023,Broj,Čitluk,4,807
2023,Broj,Mostar,4,7152
2023,Broj,Jablanica,4,781
2023,Broj,Konjic,4,1888
2023,Broj,Neum,4,263
2023,Broj,Prozor,4,728
2023,Broj,Ravno,4,181
2023,Broj,Stolac,4,776
2023,Broj,Zapadno-hercegovačka županija,4,4716
2023,Broj,Grude,4,768
2023,Broj,Ljubuški,4,1365
2023,Broj,Posušje,4,986
2023,Broj,Široki Brijeg,4,1597
2023,Broj,Sarajevska županija,4,30523
2023,Broj,Sarajevo-Centar,4,3832
2023,Broj,Sarajevo-Hadžići,4,1873
2023,Broj,Sarajevo-Ilidža,4,5079
2023,Broj,Sarajevo-Ilijaš,4,1476
2023,Broj,Sarajevo-Novi Grad,4,8817
2023,Broj,Sarajevo-Novo Sarajevo,4,4557
2023,Broj,Sarajevo-Stari Grad,4,2674
2023,Broj,Trnovo-FBiH,4,63
2023,Broj,Sarajevo-Vogošća,4,2152
2023,Broj,Županija 10,4,4138
2023,Broj,Bosansko Grahovo,4,100
2023,Broj,Drvar,4,390
2023,Broj,Glamoč,4,172
2023,Broj,kupres,4,275
2023,Broj,Livno,4,1740
2023,Broj,Tomislavgrad,4,1461
2023,Broj,Federacija Bosne i Hercegovine,5,67486
2023,Broj,Unsko-sanska županija,5,9711
2023,Broj,Bihać,5,1737
2023,Broj,Bosanska Krupa,5,911
2023,Broj,Bosanski Petrovac,5,185
2023,Broj,Bužim,5,800
2023,Broj,Cazin,5,2592
2023,Broj,Ključ,5,586
2023,Broj,Sanski Most,5,1405
2023,Broj,Velika Kladuša,5,1495
2023,Broj,Posavska županija,5,1588
2023,Broj,Domaljevac-Šamac,5,216
2023,Broj,Odžak,5,644
2023,Broj,Orašje,5,728
2023,Broj,Tuzlanska županija,5,11199
2023,Broj,Banovići,5,510
2023,Broj,Čelić,5,376
2023,Broj,Doboj-Istok,5,278
2023,Broj,Gračanica,5,1143
2023,Broj,Gradačac,5,1367
2023,Broj,Kalesija,5,1166
2023,Broj,Kladanj,5,434
2023,Broj,Lukavac,5,753
2023,Broj,Sapna,5,413
2023,Broj,Srebrenik,5,1047
2023,Broj,Teočak,5,327
2023,Broj,Tuzla,5,1782
2023,Broj,Živinice,5,1603
2023,Broj,Zeničko-dobojska županija,5,10450
2023,Broj,Breza,5,329
2023,Broj,Doboj-Jug,5,145
2023,Broj,Kakanj,5,1112
2023,Broj,Maglaj,5,601
2023,Broj,Olovo,5,294
2023,Broj,Tešanj,5,1440
2023,Broj,Usora,5,258
2023,Broj,Vareš,5,173
2023,Broj,Visoko,5,1238
2023,Broj,Zavidovići,5,955
2023,Broj,Zenica,5,2672
2023,Broj,Žepče,5,1233
2023,Broj,Bosansko-podrinjska županija,5,565
2023,Broj,Foča-FBiH,5,43
2023,Broj,Goražde,5,499
2023,Broj,Pale-FBiH,5,23
2023,Broj,Srednjobosanska županija,5,9194
2023,Broj,Bugojno,5,1132
2023,Broj,Busovača,5,651
2023,Broj,Dobretići,5,57
2023,Broj,Donji Vakuf,5,527
2023,Broj,Fojnica,5,380
2023,Broj,Gornji Vakuf-Uskoplje,5,863
2023,Broj,Jajce,5,1004
2023,Broj,Kiseljak,5,669
2023,Broj,Kreševo,5,182
2023,Broj,Novi Travnik,5,878
2023,Broj,Travnik,5,1869
2023,Broj,Vitez,5,982
2023,Broj,Hercegovačko-neretvanska županija,5,7861
2023,Broj,Čapljina,5,978
2023,Broj,Čitluk,5,747
2023,Broj,Mostar,5,3595
2023,Broj,Jablanica,5,340
2023,Broj,Konjic,5,803
2023,Broj,Neum,5,185
2023,Broj,Prozor,5,546
2023,Broj,Ravno,5,123
2023,Broj,Stolac,5,544
2023,Broj,Zapadno-hercegovačka županija,5,3764
2023,Broj,Grude,5,663
2023,Broj,Ljubuški,5,1081
2023,Broj,Posušje,5,860
2023,Broj,Široki Brijeg,5,1160
2023,Broj,Sarajevska županija,5,9905
2023,Broj,Sarajevo-Centar,5,1042
2023,Broj,Sarajevo-Hadžići,5,735
2023,Broj,Sarajevo-Ilidža,5,1845
2023,Broj,Sarajevo-Ilijaš,5,616
2023,Broj,Sarajevo-Novi Grad,5,2831
2023,Broj,Sarajevo-Novo Sarajevo,5,1204
2023,Broj,Sarajevo-Stari Grad,5,875
2023,Broj,Trnovo-FBiH,5,33
2023,Broj,Sarajevo-Vogošća,5,724
2023,Broj,Županija 10,5,3249
2023,Broj,Bosansko Grahovo,5,44
2023,Broj,Drvar,5,143
2023,Broj,Glamoč,5,123
2023,Broj,kupres,5,227
2023,Broj,Livno,5,1297
2023,Broj,Tomislavgrad,5,1415
2023,Broj,Federacija Bosne i Hercegovine,6,30205
2023,Broj,Unsko-sanska županija,6,5226
2023,Broj,Bihać,6,785
2023,Broj,Bosanska Krupa,6,468
2023,Broj,Bosanski Petrovac,6,86
2023,Broj,Bužim,6,523
2023,Broj,Cazin,6,1509
2023,Broj,Ključ,6,268
2023,Broj,Sanski Most,6,767
2023,Broj,Velika Kladuša,6,820
2023,Broj,Posavska županija,6,803
2023,Broj,Domaljevac-Šamac,6,120
2023,Broj,Odžak,6,332
2023,Broj,Orašje,6,351
2023,Broj,Tuzlanska županija,6,4894
2023,Broj,Banovići,6,188
2023,Broj,Čelić,6,180
2023,Broj,Doboj-Istok,6,126
2023,Broj,Gračanica,6,563
2023,Broj,Gradačac,6,815
2023,Broj,Kalesija,6,537
2023,Broj,Kladanj,6,157
2023,Broj,Lukavac,6,185
2023,Broj,Sapna,6,244
2023,Broj,Srebrenik,6,455
2023,Broj,Teočak,6,178
2023,Broj,Tuzla,6,574
2023,Broj,Živinice,6,692
2023,Broj,Zeničko-dobojska županija,6,3802
2023,Broj,Breza,6,99
2023,Broj,Doboj-Jug,6,36
2023,Broj,Kakanj,6,413
