Year,UNIT_MEASURE,Općina,Vitalna statistika,Value
2013,Broj,Tuzla,Pet i više djece,1356
2013,Broj,Usora,Pet i više djece,207
2013,Broj,Vareš,Pet i više djece,216
2013,Broj,Velika Kladuša,Pet i više djece,2148
2013,Broj,Visoko,Pet i više djece,615
2013,Broj,Vitez,Pet i više djece,718
2013,Broj,Sarajevo-Vogošća,Pet i više djece,358
2013,Broj,Zavidovići,Pet i više djece,988
2013,Broj,Zenica,Pet i više djece,2155
2013,Broj,Žepče,Pet i više djece,1169
2013,Broj,Živinice,Pet i više djece,1342
