Year,UNIT_MEASURE,Oпштина,Пол,Education,Value
2013,Број,Чапљина,Оба пола,Основна школа,3780
2013,Број,Челић,Оба пола,Основна школа,2884
2013,Број,Читлук,Оба пола,Основна школа,2467
2013,Број,Добој-Исток,Оба пола,Основна школа,2026
2013,Број,Добој-Југ,Оба пола,Основна школа,854
2013,Број,Добретићи,Оба пола,Основна школа,451
2013,Број,Домаљевац-Шамац,Оба пола,Основна школа,968
2013,Број,donji_vakuf,Оба пола,Основна школа,3250
2013,Број,Дрвар,Оба пола,Основна школа,1232
2013,Број,Фоча-ФБиХ,Оба пола,Основна школа,440
2013,Број,Фојница,Оба пола,Основна школа,2448
2013,Број,Гламоч,Оба пола,Основна школа,781
2013,Број,Горажде,Оба пола,Основна школа,4197
