Year,UNIT-MEASURE,Administrativna jedinica,Spol,Najviša završena škola,Value
2013,Broj,Zapadno-hercegovački kanton,Ž,Osnovna škola,6518
2013,Broj,Zapadno-hercegovački kanton,Ž,Srednja škola,19340
2013,Broj,Zapadno-hercegovački kanton,Ž,Specijalizacija poslije srednje škole,130
2013,Broj,Zapadno-hercegovački kanton,Ž,Viša škola i prvi stepen fakulteta,1798
2013,Broj,Zapadno-hercegovački kanton,Ž,Visoka škola / fakultet / akademija / univerzitet,4878
2013,Broj,Kanton Sarajevo,Ž,Ukupno,187635
2013,Broj,Kanton Sarajevo,Ž,Bez obrazovanja,8349
2013,Broj,Kanton Sarajevo,Ž,Nepotpuno osnovno obrazovanje,12101
2013,Broj,Kanton Sarajevo,Ž,Osnovna škola,35528
2013,Broj,Kanton Sarajevo,Ž,Srednja škola,87633
2013,Broj,Kanton Sarajevo,Ž,Specijalizacija poslije srednje škole,447
2013,Broj,Kanton Sarajevo,Ž,Viša škola i prvi stepen fakulteta,6841
2013,Broj,Kanton Sarajevo,Ž,Visoka škola / fakultet / akademija / univerzitet,36736
2013,Broj,Kanton 10,Ž,Ukupno,36041
2013,Broj,Kanton 10,Ž,Bez obrazovanja,3106
2013,Broj,Kanton 10,Ž,Nepotpuno osnovno obrazovanje,4766
2013,Broj,Kanton 10,Ž,Osnovna škola,7161
2013,Broj,Kanton 10,Ž,Srednja škola,15717
2013,Broj,Kanton 10,Ž,Specijalizacija poslije srednje škole,99
2013,Broj,Kanton 10,Ž,Viša škola i prvi stepen fakulteta,1450
2013,Broj,Kanton 10,Ž,Visoka škola / fakultet / akademija / univerzitet,3742
